titolo, progetto, costruzione, stato di realizzazione, luogo, artisti, committenti, tipologia, ordini architettonici, parti del complesso, soggetto, immagine, indirizzo

"Basilica Palladiana, VI", 1546 - 1549, 1549 - 1614, Esistente, Piazza dei Signori- Vicenza, Andrea Palladio: architetto, Rappresentanti del Consiglio cittadino di Vicenza;Amministrazione pubblica della città, Opera pubblica, Dorico;Ionico, Loggiato a serliane a rivestimento del preesistente Palazzo della Ragione, "basilica; vicenza", https://github.com/francescatomasi1973/informaticaumanistica/img/opere/giovinezza/giovinezza-la-prima-comunione.jpg, https://github.com/francescatomasi1973/informaticaumanistica/item01.html

"Chiesa del monastero San Giorgio Maggiore, VE", 1565, 1565 - 1576, Incompiuto, Isola di San Giorgio Maggiore- Venezia, Andrea Palladio: architetto, Congregazione di Santa Giustina, Chiesa, Corinzio, Navata principale voltata a botte e controventata da tre volte a crociera;Absidi;Cupola su tamburo;Presbiterio, "chiesa; monastero; venezia", https://github.com/francescatomasi1973/informaticaumanistica/img/opere/giovinezza/giovinezza-la-prima-comunione.jpg, https://github.com/francescatomasi1973/informaticaumanistica/item01.html


"Teatro Olimpico, VI", 1580, 1580 - 1584, Incompiuto, Piazza Matteotti- Vicenza, Andrea Palladio: architetto/ progettista, Accademia Olimpica, Opera pubblica;Teatro, x, Progetto palladiano: unica prospettiva centrale;cesura delle due ali di muro;soffitto alla ducale, "teatro; opera; olimpico; vicenza", https://github.com/francescatomasi1973/informaticaumanistica/img/opere/giovinezza/giovinezza-la-prima-comunione.jpg, https://github.com/francescatomasi1973/informaticaumanistica/item01.html


"Villa Pisani, VI", 1542, 1542 - 1545, Esistente, Via Risaie 1-  Bagnolo Lonigo VI, Francesco Torbido: pittore;Ignoto fine XVI secolo: pittore;Andrea Palladio: architetto, Daniele Pisani;Marco Pisani;Vettore Pisani, Abitazioni/Palazzi, Dorico, Barchesse piegate ad angolo retto;Barchesse rettilinee;Colombara;Corpo dominicale;Cortile;Torre, "villa; abitazione; palazzo; pisani; lonigo; vicenza", https://github.com/francescatomasi1973/informaticaumanistica/img/opere/giovinezza/giovinezza-la-prima-comunione.jpg, https://github.com/francescatomasi1973/informaticaumanistica/item01.html

